comuna,ica,fecha,id
comuna 13,26,2024-06-25,48522
comuna 15,93,2024-01-30,47979
comuna 5,42,2024-06-23,2314
comuna 16,46,2024-07-31,37090
comuna 13,35,2024-06-23,2120
comuna 16,32,2024-06-25,34661
comuna 8,40,2024-06-23,4012
comuna 8,60,2024-06-23,4111
comuna 7,94,2024-07-31,8390
comuna 2,60,2024-06-23,42608
comuna 1,66,2024-07-31,311
comuna 13,34,2024-06-25,33562
comuna 9,77,2024-06-23,25021
comuna 7,62,2024-06-25,21776
comuna 1,39,2024-06-25,26483
comuna 11,67,2024-06-23,14162
comuna 12,91,2024-01-30,24818
comuna 5,81,2024-06-23,48151
comuna 11,53,2024-06-25,10232
comuna 2,73,2024-07-31,41238
comuna 3,92,2024-01-30,27061
comuna 1,32,2024-07-31,41704
comuna 16,81,2024-06-25,23193
comuna 16,21,2024-06-25,36661
comuna 3,20,2024-07-31,16140
comuna 3,97,2024-07-31,41062
comuna 6,24,2024-06-25,38587
comuna 11,98,2024-01-30,5898
comuna 4,46,2024-06-25,34340
comuna 12,41,2024-07-31,28208
comuna 11,17,2024-06-23,32090
comuna 10,46,2024-01-30,17215
comuna 6,26,2024-01-30,12928
comuna 11,66,2024-07-31,6432
comuna 4,95,2024-06-25,15402
comuna 6,42,2024-01-30,26741
comuna 13,90,2024-07-31,44609
comuna 13,63,2024-06-25,24595
comuna 2,99,2024-01-30,34112
comuna 8,82,2024-06-25,10537
comuna 14,94,2024-07-31,4584
comuna 3,20,2024-07-31,27596
comuna 10,51,2024-06-23,439
comuna 4,49,2024-06-25,4647
comuna 7,63,2024-01-30,47213
comuna 1,64,2024-07-31,7351
comuna 8,11,2024-07-31,530
comuna 10,37,2024-07-31,18892
comuna 3,69,2024-07-31,22511
comuna 13,88,2024-06-23,47674
comuna 14,72,2024-01-30,25641
comuna 9,62,2024-07-31,43720
comuna 9,10,2024-06-23,4777
comuna 9,95,2024-06-23,29102
comuna 11,36,2024-06-23,35079
comuna 16,54,2024-06-23,31451
comuna 2,25,2024-06-23,23422
comuna 4,47,2024-01-30,28748
comuna 9,66,2024-01-30,21250
comuna 13,67,2024-06-25,19201
comuna 2,74,2024-06-25,36230
comuna 3,34,2024-06-25,4826
comuna 5,95,2024-06-25,5379
comuna 11,13,2024-06-23,7456
comuna 9,64,2024-06-25,10568
comuna 7,70,2024-06-25,1558
comuna 6,98,2024-06-23,22631
